8,20
9,20
10,22
10,22
11,21
12,21
12,21
13,24
14,24
15,23
16,24
17,22
27,20
27,20
27,20
27,20
28,22
29,23
30,24
31,28
31,28
32,33
33,37
33,37
34,35
35,31
35,31
36,25
46,21
46,21
46,21
47,20
48,19
56,-12
56,-12
56,-12
56,-12
56,-12
57,-17
58,-14
74,18
75,20
76,25
76,25
77,28
78,34
79,32
80,33
81,31
81,31
82,29
83,25
84,18
100,21
101,21
107,26
108,32
108,32
109,35
110,30
110,30
110,30
111,18
119,24
120,38
121,54
122,59
122,59
122,59
123,40
124,25
131,19
132,21
132,21
133,23
134,24
134,24
135,19
140,18
141,24
141,24
142,22
152,-11
152,-11
167,23
175,-19
175,-19
175,-19
175,-19
176,-24
177,-21
177,-21
178,-18
179,-15
179,-15
179,-15
180,-15
181,-14
181,-14
181,-14
182,-14
182,-14
182,-14
182,-14
183,-13
188,-13
189,-15
190,-17
217,-12
217,-12
223,23
233,-12
234,-14
235,-15
236,-22
237,-24
237,-24
238,-13
256,28
257,34
258,35
259,28
259,28
275,27
276,29
276,29
276,29
277,31
278,31
279,32
280,31
280,31
281,29
281,29
281,29
281,29
281,29
282,24
292,-11
293,-16
294,-16
295,-14
313,24
314,33
314,33
314,33
315,45
316,46
316,46
316,46
317,44
318,36
318,36
319,23
323,24
323,24
323,24
324,29
324,29
325,28
325,28
326,27
327,28
332,-24
332,-24
332,-24
333,-32
334,-29
335,-20
335,-20
336,-15
336,-15
336,-15
355,23
356,25
357,23
371,24
372,26
372,26
372,26
392,27
392,27
393,33
394,35
395,35
396,29
412,-12
413,-19
413,-19
413,-19
413,-19
413,-19
414,-20
417,24
418,33
419,27
436,-13
436,-13
436,-13
444,27
445,40
445,40
446,35
447,31
461,-13
462,-16
463,-18
464,-13
477,-14
478,-11
478,-11
482,28
483,32
484,31
485,29
486,28
487,25
496,-12
497,-25
497,-25
498,-27
498,-27
499,-21
500,-20
501,-17
515,-19
515,-19
516,-33
517,-44
518,-56
519,-54
520,-47
521,-33
522,-19
550,23
552,26
553,30
554,27
558,-20
559,-27
560,-29
560,-29
560,-29
561,-23
561,-23
562,-18
563,-11
568,23
568,23
568,23
569,28
569,28
569,28
570,27
570,27
570,27
651,24
651,24
651,24
652,28
652,28
652,28
653,28
653,28
653,28
653,28
653,28
653,28
654,25
654,25
654,25
654,25
654,25
654,25
671,23
671,23
671,23
672,24
672,24
672,24
673,25
673,25
673,25
674,25
674,25
674,25
674,25
674,25
674,25
